case_id,dice_original,dice_thr0.08_cap5000,precision_added_thr0.08_cap5000,dice_thr0.05_cap20000,precision_added_thr0.05_cap20000
test_78,0.8285475618665403,0.8450949286112046,0.8320413436692506,0.8469906466038801,0.7644787644787645
test_79,0.7466152940542908,0.7416148408011791,0.0,0.7380385937083066,0.017543859649122806
test_8,0.7656746605023024,0.7638665132331623,0.17333333333333334,0.7620575094508178,0.17647058823529413
test_80,0.7444636251537635,0.752542041454462,0.8287292817679558,0.7448969813125323,0.3798319327731092
test_81,0.821666395971397,0.8284372263348233,0.582995951417004,0.827657378740313,0.5441696113074205
test_82,0.6189396261105614,0.6168783585731455,0.03278688524590164,0.6099214204303222,0.09831460674157304
test_83,0.662039617001539,0.6713610300771193,0.9790209790209791,0.6772433812118126,0.9586776859504132
test_84,0.7172966137412411,0.717638984213646,0.36607142857142855,0.7151679674240141,0.3273453093812375
test_85,0.7371071366550294,0.748244055174115,0.5886287625418061,0.7443096859937328,0.4519230769230769
test_86,0.7901560990487668,0.7871737811041942,0.11428571428571428,0.783415221096569,0.15412186379928317
test_87,0.39255236617456835,0.41375379939131124,0.7129629629629629,0.4219772005224781,0.6
