case_id,dice_original,dice_window,dice_raster
test_274,0.9404380341874061,0.9408390582265451,0.940689839214797
test_275,0.8664277569629691,0.8707141120200448,0.8677833794105807
test_276,0.5695978416654838,0.5641068170504527,0.5681913554338496
test_277,0.8073320845594473,0.807461158348926,0.8071800810650718
test_278,0.669338110503173,0.6697143934392168,0.6697143934392168
test_279,0.7408007197477549,0.7404810069675251,0.740680786006232
test_28,0.5992818671451529,0.5963371250381675,0.5983164833204478
test_280,0.8477735588534016,0.8430142346347952,0.8457268179008665
test_281,0.6089447421912687,0.612964814982623,0.612586127698105
test_282,0.6629736673083951,0.660174188439699,0.6628790909813052
test_283,0.8709972552604754,0.8669468665702067,0.8706067769894813
test_284,0.8974271012000703,0.8800213889440011,0.8953940634589591
test_285,0.7916264478762092,0.7923368446179487,0.7932796345272923
test_286,0.7631644621905306,0.7595501901763192,0.762284196546512
test_287,0.7530377943511665,0.7562577962571673,0.7547453800478678
test_288,0.8259148402038949,0.8242633650054474,0.8272937548180153
test_289,0.7773269689732831,0.7798906584259686,0.7780426749309941
test_29,0.871695680205694,0.8740297657189532,0.8736075407020325
test_290,0.8855248174687618,0.8839565420243392,0.8855748010426766
test_291,0.8702958579876506,0.8613036640060224,0.8642279282443052
test_292,0.8830492207847525,0.8829899026815539,0.883110948637871
test_293,0.8054209676281121,0.7882642593347091,0.8038571728035749
test_294,0.8721820731307991,0.8660279398378922,0.8705527746375635
test_295,0.7193040323242684,0.7192447229548485,0.719274376416937
test_296,0.7273796398377601,0.7274463708487162,0.727553269654131
test_297,0.8297139915706883,0.828555872273379,0.8300395256914328
test_298,0.45013360917123507,0.45331312620994074,0.45231980825162443
test_299,0.7336496802140612,0.7296724338366068,0.732491073880299
test_3,0.7086268410938118,0.7021067666484992,0.7081644733843139
test_30,0.8262891477012114,0.8258420035362808,0.8261334649877289
test_300,0.7321465678459983,0.735947353989076,0.73418071290361
test_31,0.6641959859456783,0.6641959859456783,0.6641959859456783
test_32,0.7232664732346313,0.728118567311351,0.728167486862654
test_33,0.7838856400249722,0.7840436590426403,0.7838856400249722
test_34,0.8824605733197852,0.8910328193635187,0.8836764833629713
test_35,0.7135971958516769,0.7108398721296783,0.7117779881996418
test_36,0.8494683827638154,0.8470489861327802,0.8488404582279625
test_37,0.4856273764254862,0.4989221734925303,0.4929045893716086
