seq,layer,stage,op_type,cin,hin,win,cout,hout,wout,kh,kw,sh,sw,dh,dw,A,W,Q,P,M,total_pe,total_simd_lanes,swu_bram18,wm_bram18,swu_lut,mvu_lut,mp_lut,total_lut,note
250,regular4.0.reduce.0,regular4,Conv2d,64,128,128,16,128,128,1,1,1,1,1,1,8,8,64,16,16384,262144,16777216,491520,240,6979584,1181116306,0,1188095890,
253,regular4.0.conv,regular4,Conv2d,16,128,128,16,128,128,3,3,1,1,1,1,8,8,144,16,16384,262144,37748736,262144,512,6979584,2657511314,0,2664490898,
256,regular4.0.expand.0,regular4,Conv2d,16,128,128,64,128,128,1,1,1,1,1,1,8,8,16,64,16384,1048576,16777216,131072,256,6979584,1181116306,0,1188095890,
260,regular4.1.reduce.0,regular4,Conv2d,64,128,128,16,128,128,1,1,1,1,1,1,8,8,64,16,16384,262144,16777216,491520,240,6979584,1181116306,0,1188095890,
263,regular4.1.conv,regular4,Conv2d,16,128,128,16,128,128,3,3,1,1,1,1,8,8,144,16,16384,262144,37748736,262144,512,6979584,2657511314,0,2664490898,
266,regular4.1.expand.0,regular4,Conv2d,16,128,128,64,128,128,1,1,1,1,1,1,8,8,16,64,16384,1048576,16777216,131072,256,6979584,1181116306,0,1188095890,
270,up5.main_proj.0,up5,Conv2d,64,128,128,16,128,128,1,1,1,1,1,1,8,8,64,16,16384,262144,16777216,491520,240,6979584,1181116306,0,1188095890,
272,up5.reduce.0,up5,Conv2d,64,128,128,16,128,128,1,1,1,1,1,1,8,8,64,16,16384,262144,16777216,491520,240,6979584,1181116306,0,1188095890,
275,up5.up.0,up5,ConvTranspose2d(as zero-insert+conv),16,128,128,16,256,256,2,2,1,1,1,1,8,8,64,16,65536,1048576,67108864,786432,240,27918336,4724464326,0,4752382662,zero-inserted+padded to 257x257 then regular 2x2 stride-1 conv
278,up5.expand.0,up5,Conv2d,16,256,256,16,256,256,1,1,1,1,1,1,8,8,16,16,65536,1048576,16777216,524288,64,27918336,1181116306,0,1209034642,
282,regular5.0.reduce.0,regular5,Conv2d,16,256,256,4,256,256,1,1,1,1,1,1,8,8,16,4,65536,262144,4194304,524288,16,27918336,295279302,0,323197638,
285,regular5.0.conv,regular5,Conv2d,4,256,256,4,256,256,3,3,1,1,1,1,8,8,36,4,65536,262144,9437184,262144,32,27918336,664378054,0,692296390,
288,regular5.0.expand.0,regular5,Conv2d,4,256,256,16,256,256,1,1,1,1,1,1,8,8,4,16,65536,1048576,4194304,131072,16,27918336,295279302,0,323197638,
292,final,final,ConvTranspose2d(as zero-insert+conv),16,256,256,5,512,512,2,2,1,1,1,1,8,8,64,5,262144,1310720,83886080,6291456,75,111673344,5905580332,0,6017253676,zero-inserted+padded to 513x513 then regular 2x2 stride-1 conv
