case_id,category,gt_vessel_px,passthrough_dice_f1,passthrough_precision,passthrough_recall_sensitivity,passthrough_accuracy,refinement_dice_f1,refinement_precision,refinement_recall_sensitivity,refinement_accuracy,gap_recovery_rate,n_disagreement_px
test_104_empty_005,empty,0,0.0,0.0,0.0,0.9999999999989149,0.0,0.0,0.0,0.9999999999989149,,0
test_104_empty_006,empty,0,0.0,0.0,0.0,0.9999999999989149,0.0,0.0,0.0,0.9933810763878109,,0
test_104_empty_009,empty,0,0.0,0.0,0.0,0.9999999999989149,0.0,0.0,0.0,0.9999999999989149,,0
test_104_empty_010,empty,0,0.0,0.0,0.0,0.9999999999989149,0.0,0.0,0.0,0.9999999999989149,,0
test_104_empty_012,empty,0,0.0,0.0,0.0,0.9999999999989149,0.0,0.0,0.0,0.9999999999989149,,0
test_105_corrupt_000,corrupt,1763,0.8272535423550581,0.8828828828772016,0.7782189449757333,0.9378255208323156,0.8955139125471451,0.8965321205179276,0.8944980147425157,0.9600694444434026,0.5654450261780105,573
test_105_corrupt_001,corrupt,1173,0.8654970760194984,0.9161904761817506,0.82011935208167,0.9675564236100611,0.9117395029952368,0.9164513350480926,0.9070758738200592,0.9776475694433835,0.568561872909699,299
test_105_corrupt_003,corrupt,1421,0.8984485190377347,0.9003533568840965,0.8965517241316218,0.9687499999989487,0.9160887656001523,0.9029391660908891,0.9296270232165403,0.9737413194433878,0.4340277777777778,288
test_105_corrupt_006,corrupt,1599,0.8955223880567958,0.9305461901488163,0.8630393996193682,0.9650607638878417,0.9284151297251378,0.9281249999941993,0.9287054408947548,0.9751519097211641,0.6180124223602484,322
test_105_corrupt_008,corrupt,2470,0.8755990831404968,0.9021039072524599,0.850607287445949,0.9352213541656518,0.9298383917995077,0.9059139784911447,0.9550607287410726,0.9613715277767345,0.6381909547738693,597
